field_id,default_name,domain,data_type,semantic_meaning,source_or_derivation,total_eligible,ledger_eligibility,status,no_inference_rule,evidence_notes
operational_date,Date,identity,date,Operational date distinct from event timestamps,manual/company source,NO,CONFIRMED,CONFIRMED,Do not derive from UTC clock date alone,Standard default and paper profiles
aircraft_type,Aircraft Type,identity,code,ICAO aircraft type designator semantic,manual/company source,NO,CONFIRMED,CONFIRMED,Do not infer registration or category/class,Standard default
registration,Registration,identity,text,Aircraft registration or ident,manual/company source,NO,CONFIRMED,CONFIRMED,Do not infer from aircraft type,Standard default
flight_number,Flight Number,identity,text,Commercial or source flight identifier,manual/company source,NO,CONFIRMED,CONFIRMED,Presentation parsing does not decide canonical storage,Standard default
departure,Departure,route,airport_ref,Departure airport semantic,manual/company source,NO,CONFIRMED,CONFIRMED,Do not infer Cross-Country from route inequality,Standard default
arrival,Arrival,route,airport_ref,Arrival airport semantic,manual/company source,NO,CONFIRMED,CONFIRMED,Do not infer Cross-Country from route inequality,Standard default
ramp_out,Ramp Out,operational_clock,timestamp,OUT event time,manual/Maint/company fltTime,NO,PROPOSED,PROPOSED,Do not infer Takeoff clock from Actual,OOOI foundational event
takeoff_time,Takeoff,operational_clock,timestamp,OFF event time,manual/Maint source,NO,PROPOSED,PROPOSED,Do not reconstruct from Actual alone,OOOI foundational event
landing_time,Landing,operational_clock,timestamp,ON event time,manual/Maint source,NO,PROPOSED,PROPOSED,Do not reconstruct from Actual alone,OOOI foundational event
ramp_in,Ramp In,operational_clock,timestamp,IN event time,manual/Maint source or Ramp Out plus Block,NO,PROPOSED,PROPOSED,Calculated value must remain distinguishable from source value,Absent from verified company Excel sample
block,Block,duration,duration,IN minus OUT duration,manual/Maint/company bt or deterministic OOOI calculation,PROFILE_SPECIFIC,CONFIRMED,CONFIRMED,Do not treat as Actual or universal profile Total Time,Standard default and Alpha-K B/T
actual,Actual,duration,duration,ON minus OFF duration,manual/Maint/company at or deterministic OOOI calculation,PROFILE_SPECIFIC,PROPOSED,CONFIRMED,Actual alone cannot recover both endpoint clocks,Maint A/T and company at
night,Night,duration,duration,Pilot/company-recorded Night logbook duration,manual/Maint/company ntTme,PROFILE_SPECIFIC,CONFIRMED,CONFIRMED,Do not solar-derive replace mismatch-check or default null to Day,Standard default
instrument_flight_time,Instrument Flight Time,duration,duration,Pilot/company-recorded Instrument Flight Time,manual/Maint/company instTme,PROFILE_SPECIFIC,CONFIRMED,CONFIRMED,Do not derive from Actual or map to IFR/Actual Instrument,Standard Inst label
ifr_time,IFR Time,duration,duration,Time under IFR semantic separate from other instrument fields,matching source or user entry,OPEN,PROPOSED,PROPOSED,Do not populate from company instTme,EASA-style profile slot requires matching semantic
actual_instrument,Actual Instrument,duration,duration,Actual instrument conditions time semantic,matching source or user entry,OPEN,PROPOSED,PROPOSED,Do not populate from company instTme,US and Alpha-K profile slots require matching semantic
simulated_instrument,Simulated Instrument,duration,duration,Simulated instrument or hood time,matching source or user entry,OPEN,PROPOSED,PROPOSED,Do not derive from Instrument Flight Time,Paper and digital reference field
instrument_ground_time,Instrument Ground Time,duration,duration,Ground-device instrument time semantic,matching source or user entry,OPEN,PROPOSED,PROPOSED,Do not combine with flight Instrument Flight Time,Separate specialist semantic
